STATENAME,AGENCYNAME,AGENCYID,GEOAGENCYID,STUDENTWHITE,STUDENTAFRICANAMERICAN,STUDENTLATINO,STUDENTASIAN,STUDENTNATIVE,STUDENTMULTIRACIAL,TEACHERWHITE,TEACHERAFRICANAMERICAN,TEACHERLATINO,TEACHERASIAN,TEACHERNATIVE,TEACHERMULTIRACIAL
CALIFORNIA,Delhi Unified School District,600039,600039,185,8,2355,85,1,10,987,5,45,6,1,24
CALIFORNIA,Wiseburn Unified School District,601428,601428,834,616,2227,238,9,377,1977,21,121,19,8,40
CALIFORNIA,Bonsall Unified School District,601426,601426,1360,56,932,146,153,212,2069,24,199,18,6,30
CALIFORNIA,Center Joint Unified School District,607900,607900,2064,489,1144,463,39,278,1123,9,152,12,25,24
CALIFORNIA,Natomas Unified School District,600036,600036,2624,2552,4751,3235,92,1377,451,3,31,1,1,13
CALIFORNIA,Sacramento City Unified School District,633840,633840,8157,7552,18486,9321,275,3024,NA,NA,NA,NA,NA,NA
CALIFORNIA,Big Oak Flat-Groveland Unified School District,691137,691137,236,5,48,3,4,6,683,1,19,1,0,33
CALIFORNIA,Coalinga-Huron Unified School District,609120,609120,455,46,3746,93,14,96,105,2,0,3,1,0
CALIFORNIA,Pajaro Valley Joint Unified School District,629490,629490,3179,99,16671,353,33,65,435,8,6,2,0,3
CALIFORNIA,Aromas-San Juan Unified School District,691136,691136,320,3,760,15,1,19,1498,38,327,16,10,16
CALIFORNIA,South San Francisco Unified School District,637530,637530,586,128,4270,3365,18,512,547,2,92,7,1,16
CALIFORNIA,Cuyama Joint Unified School District,600009,600009,56,2,182,2,1,2,1304,10,141,14,3,46
CALIFORNIA,Carpinteria Unified School District,607560,607560,516,9,1659,44,10,31,564,6,60,1,1,8
CALIFORNIA,Holtville Unified School District,617430,617430,167,5,1405,4,0,17,1262,1,35,13,1,58
CALIFORNIA,Imperial Unified School District,618210,618210,540,46,3438,61,8,29,240,2,138,0,0,7
CALIFORNIA,Baker Valley Unified School District,603610,603610,14,0,110,0,0,0,3494,161,632,490,31,244
CALIFORNIA,Needles Unified School District,626760,626760,475,21,235,13,173,35,807,1,18,2,5,7
CALIFORNIA,Barstow Unified School District,604020,604020,1287,1106,3212,160,68,321,7557,5047,5280,255,71,899
CALIFORNIA,Silver Valley Unified School District,636820,636820,862,242,739,115,24,186,1312,15,61,18,499,64
CALIFORNIA,Fontana Unified School District,613920,613920,1572,2078,33078,885,39,362,207,2,3,2,22,10
CALIFORNIA,Chino Valley Unified School District,608460,608460,5197,952,16518,5541,24,654,653,7,37,5,6,11
CALIFORNIA,Death Valley Unified School District,610680,610680,14,1,4,0,0,3,371,3,20,0,7,9
CALIFORNIA,Cabrillo Unified School District,606780,606780,1358,13,1685,96,4,123,2427,36,195,21,22,53
CALIFORNIA,La Honda-Pescadero Unified School District,620220,620220,103,1,207,1,0,6,799,4,17,6,1,1
CALIFORNIA,Lindsay Unified School District,621870,621870,158,9,3908,87,7,22,275,3,1,1,0,6
CALIFORNIA,Hughson Unified School District,600060,600060,861,2,1174,19,7,25,291,3,5,0,2,5
CALIFORNIA,Oakdale Joint Unified School District,600062,600062,3034,29,1954,116,46,98,1040,9,21,11,1,22
CALIFORNIA,Turlock Unified School District,600158,600158,4616,297,8036,824,100,328,5885,175,453,86,30,195
