"","X","bref_season","min_playerid","season","Name","Age","LevEq","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","Bryant"
"13",13,"darnel001jam_2012","darnel001jam",2012,"James Darnell",25,3.5,38,156,133,23,35,7,0,8,22,1,1,18,27,0.263,0.359,0.496,0.855,"Similar Player"
"14",14,"darnel001jam_2013","darnel001jam",2013,"James Darnell",26,3,15,64,61,5,15,5,1,0,10,0,2,3,12,0.246,0.281,0.361,0.642,"Similar Player"
"15",15,"dicker001mck_2012","dicker001mck",2012,"Corey Dickerson*",23,1.5,127,559,506,83,154,40,7,22,81,16,8,43,93,0.304,0.358,0.542,0.899,"Similar Player"
"16",16,"dicker001mck_2013","dicker001mck",2013,"Corey Dickerson*",24,3.5,144,558,509,93,168,34,19,16,67,8,12,42,90,0.33,0.377,0.566,0.943,"Similar Player"
"17",17,"dicker001mck_2014","dicker001mck",2014,"Corey Dickerson*",25,3.5,134,492,449,76,141,28,7,24,77,8,7,38,105,0.314,0.366,0.568,0.934,"Similar Player"
"18",18,"gordon001ale_2007","gordon001ale",2007,"Alex Gordon*",23,4,151,601,543,60,134,36,4,15,60,14,4,41,137,0.247,0.314,0.411,0.725,"Similar Player"
"19",19,"gordon001ale_2008","gordon001ale",2008,"Alex Gordon*",24,4,134,571,493,72,128,35,1,16,59,9,2,66,120,0.26,0.351,0.432,0.783,"Similar Player"
"20",20,"gordon001ale_2009","gordon001ale",2009,"Alex Gordon*",25,2.8333333333,79,322,268,50,72,13,1,11,45,5,0,44,67,0.269,0.377,0.448,0.825,"Similar Player"
"21",21,"gordon001ale_2010","gordon001ale",2010,"Alex Gordon*",26,3,149,633,519,100,138,33,3,22,66,9,7,94,137,0.266,0.391,0.468,0.859,"Similar Player"
"22",22,"gordon001ale_2011","gordon001ale",2011,"Alex Gordon*",27,4,151,690,611,101,185,45,4,23,87,17,8,67,139,0.303,0.376,0.502,0.879,"Similar Player"
"23",23,"gordon001ale_2012","gordon001ale",2012,"Alex Gordon*",28,4,161,721,642,93,189,51,5,14,72,10,5,73,140,0.294,0.368,0.455,0.822,"Similar Player"
"24",24,"gordon001ale_2013","gordon001ale",2013,"Alex Gordon*",29,4,156,700,633,90,168,27,6,20,81,11,3,52,141,0.265,0.327,0.422,0.749,"Similar Player"
"25",25,"gordon001ale_2014","gordon001ale",2014,"Alex Gordon*",30,4,156,643,563,87,150,34,1,19,74,12,3,65,126,0.266,0.351,0.432,0.783,"Similar Player"
"26",26,"gyorko001jed_2012","gyorko001jed",2012,"Jedd Gyorko",23,2.5,126,557,499,80,155,28,0,30,100,5,4,51,95,0.311,0.373,0.547,0.921,"Similar Player"
"27",27,"gyorko001jed_2013","gyorko001jed",2013,"Jedd Gyorko",24,2.75,128,533,494,64,126,27,0,23,64,1,1,33,124,0.255,0.306,0.449,0.755,"Similar Player"
"28",28,"gyorko001jed_2014","gyorko001jed",2014,"Jedd Gyorko",25,3.5,117,471,424,44,91,19,1,11,56,3,2,40,104,0.215,0.287,0.342,0.629,"Similar Player"
"29",29,"lamb--002jac_2014","lamb--002jac",2014,"Jake Lamb*",23,3.25,145,593,518,78,157,43,6,19,95,3,1,59,140,0.303,0.374,0.519,0.894,"Similar Player"
"30",30,"mench-001kev_2001","mench-001kev",2001,"Kevin Mench",23,2,120,521,475,78,126,34,2,26,83,4,6,34,76,0.265,0.319,0.509,0.828,"Similar Player"
"31",31,"mench-001kev_2002","mench-001kev",2002,"Kevin Mench",24,3.5,136,529,464,69,116,28,2,21,75,1,1,48,116,0.25,0.33,0.455,0.785,"Similar Player"
"32",32,"mench-001kev_2003","mench-001kev",2003,"Kevin Mench",25,3.25,70,282,241,32,69,20,0,6,32,3,1,30,34,0.286,0.365,0.444,0.809,"Similar Player"
"33",33,"mench-001kev_2004","mench-001kev",2004,"Kevin Mench",26,3,129,498,454,72,127,30,3,27,72,0,0,34,63,0.28,0.335,0.537,0.873,"Similar Player"
"34",34,"mench-001kev_2005","mench-001kev",2005,"Kevin Mench",27,4,150,615,557,71,147,33,3,25,73,4,3,50,68,0.264,0.328,0.469,0.797,"Similar Player"
"35",35,"mench-001kev_2006","mench-001kev",2006,"Kevin Mench",28,4,127,482,446,45,120,24,2,13,68,1,0,27,59,0.269,0.313,0.419,0.733,"Similar Player"
"36",36,"mench-001kev_2007","mench-001kev",2007,"Kevin Mench",29,4,101,308,288,39,77,20,3,8,37,3,1,16,21,0.267,0.305,0.441,0.746,"Similar Player"
"37",37,"mench-001kev_2008","mench-001kev",2008,"Kevin Mench",30,3.3333333333,102,330,299,43,80,23,3,4,40,2,0,28,43,0.268,0.327,0.405,0.732,"Similar Player"
"38",39,"pence-001hun_2006","pence-001hun",2006,"Hunter Pence",23,2,136,592,523,97,148,31,8,28,95,17,4,60,109,0.283,0.357,0.533,0.89,"Similar Player"
"39",40,"pence-001hun_2007","pence-001hun",2007,"Hunter Pence",24,3.5,133,590,551,74,178,41,10,20,90,13,5,36,110,0.323,0.364,0.543,0.907,"Similar Player"
"40",41,"pence-001hun_2008","pence-001hun",2008,"Hunter Pence",25,4,157,642,595,78,160,34,4,25,83,11,10,40,124,0.269,0.318,0.466,0.783,"Similar Player"
"41",42,"pence-001hun_2009","pence-001hun",2009,"Hunter Pence",26,4,159,647,585,76,165,26,5,25,72,14,11,58,109,0.282,0.346,0.472,0.818,"Similar Player"
"42",43,"pence-001hun_2010","pence-001hun",2010,"Hunter Pence",27,4,156,658,614,93,173,29,3,25,91,18,9,41,105,0.282,0.325,0.461,0.786,"Similar Player"
"43",44,"pence-001hun_2011","pence-001hun",2011,"Hunter Pence",28,4,154,668,606,84,190,38,5,22,97,8,2,56,124,0.314,0.37,0.502,0.871,"Similar Player"
"44",45,"pence-001hun_2012","pence-001hun",2012,"Hunter Pence",29,4,160,688,617,87,156,26,4,24,104,5,2,56,145,0.253,0.319,0.425,0.743,"Similar Player"
